,Field_3,Field_4,Field_10,Field_12,Field_13,Field_19,Field_20,Field_21,Field_22,Field_23,Field_27,Field_28,Field_29,namSinh,gioiTinh,Field_36,Field_38,Field_39,Field_41,Field_42,Field_47,Field_50,Field_51,Field_53,Field_54,Field_55,Field_58,Field_59,Field_60,Field_62,Field_63,Field_64,Field_65,Field_66,Field_67,Field_69,Field_70,Field_71,Field_72,Field_73,Field_74,Field_75,Field_76,Field_77
0,2.0,T1,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,43.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,D,1178730.0,0.98,0.12,0.55,-0.86,1.0,1809.0,5.0,0.0,5.0
1,2.0,T1,1.0,G8,1.0,0.0,1043000.0,4.5,1.0,24.0,0.0,0.0,12.0,0.0,MALE,GD,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,3.0,2.0,Vùng 2,C,84721.0,0.53,0.05,0.29,-0.48,1.0,-27.0,5.0,1.0,2.0
2,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,12.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,Zezo,1.0,1.0,0.0,VN,YN,5.0,4.0,33.0,V,3.0,1.0,Vùng 1,D,482148.0,0.67,0.43,0.23,0.39,1.0,2918.0,4.0,1.0,4.0
3,2.0,T1,1.0,G8,1.0,0.0,1490000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,Four,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,B,75162.0,0.86,0.12,0.49,-0.74,1.0,4007.0,4.0,0.0,4.0
4,2.0,GH,1.0,G8,1.0,0.0,834000.0,4.5,1.0,2.0,0.0,0.0,12.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,BI,0.0,4.0,3.0,I,2.0,1.0,Vùng 3,C,782138.0,0.0,0.08,0.175,0.08,1.0,3629.0,4.0,1.0,8.0
5,1.0,GH,1.0,G8,1.0,0.0,2676000.0,4.5,1.0,55.0,2970000.0,0.0,10.0,0.0,MALE,GD,0.0,1.0,0.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,5.0,4.0,I,2.0,1.0,Vùng 1,E,580338.0,0.0,0.62,0.56,0.39,1.0,3274.0,4.0,1.0,4.0
6,2.0,T1,1.0,G8,1.0,0.0,1390000.0,4.5,1.0,0.0,0.0,0.0,12.0,0.0,FEMALE,GD,0.0,0.0,0.0,0.0,Zezo,1.0,1.0,0.0,VN,BI,5.0,33.0,31.0,V,2.0,1.0,Vùng 1,F,487574.0,0.54,0.08,0.31,-0.46,1.0,3638.0,7.0,3.0,4.0
7,1.0,GH,1.0,G8,1.0,2.34,4313650.0,4.5,1.0,33.0,3317000.0,0.0,12.0,0.0,FEMALE,DN,0,1.0,0.0,1.0,One,1.0,1.0,0.0,VN,BI,0.0,4.0,31.0,I,2.0,1.0,Vùng 1,G,559438.0,0.0,0.32,0.19,0.69,1.0,364.0,2.0,0.0,7.0
8,2.0,T1,1.0,G8,1.0,0.0,4015000.0,4.5,1.0,1.0,0.0,0.0,0.0,0.0,MALE,DN,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,YN,0.0,4.0,2.0,I,4.0,3.0,Vùng 3,H,175883.0,0.46,0.44,0.45,-0.02,1.0,718.0,4.0,1.0,3.0
9,1.0,GH,2.0,G8,1.0,0.0,5453400.0,4.5,1.0,12.0,0.0,0.0,0.0,0.0,FEMALE,GD,0.0,1.0,1.0,1.0,One,1.0,1.0,0.0,VN,TH,2.0,5.0,7.0,I,4.0,4.0,Vùng 1,D,664194.0,0.36,0.41,0.9,0.31,1.0,1073.0,3.0,0.0,4.0
